127.0.0.1 - - [11/May/2020:22:49:15 -0400] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/May/2020:22:49:16 -0400] "GET /ExpenseReimbursement/WEB-INF/classes/dev/wael/dao/test/Main.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [11/May/2020:22:49:48 -0400] "GET /ExpenseReimbursement/ReimbursementServ/* HTTP/1.1" 333 -
0:0:0:0:0:0:0:1 - - [11/May/2020:22:50:06 -0400] "GET /ExpenseReimbursement/ReimbursementServ/* HTTP/1.1" 333 -
0:0:0:0:0:0:0:1 - - [11/May/2020:22:50:45 -0400] "GET /ExpenseReimbursement/ReimbursementServ/getAllDepMangers HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/login.html HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/css/my.css HTTP/1.1" 200 21467
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/css/webflow.css HTTP/1.1" 200 38715
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/css/main.css HTTP/1.1" 200 352323
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/money6.svg HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/number-1.svg HTTP/1.1" 200 6795
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/money3.svg HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/nine.svg HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/one.svg HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/money4.svg HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/money2.svg HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/three.svg HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/seven.svg HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/calculator.svg HTTP/1.1" 200 13892
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/number-2.svg HTTP/1.1" 200 7623
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/money1.svg HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/ten.svg HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/arrow.svg HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:03 -0400] "GET /ExpenseReimbursement/images/admin1.svg HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/login.html HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/css/webflow.css HTTP/1.1" 200 38715
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/css/my.css HTTP/1.1" 200 21467
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/css/main.css HTTP/1.1" 200 352323
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/money6.svg HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/number-1.svg HTTP/1.1" 200 6795
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/money3.svg HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/nine.svg HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/one.svg HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/three.svg HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/money2.svg HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/money4.svg HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/seven.svg HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/calculator.svg HTTP/1.1" 200 13892
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/number-2.svg HTTP/1.1" 200 7623
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/money1.svg HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [11/May/2020:22:52:21 -0400] "GET /ExpenseReimbursement/images/ten.svg HTTP/1.1" 200 2785
